155,13,-6,0,2
162,17,-7,0,2
167,19,-11,0,1
166,19,-17,0,2
161,17,-20,0,2
158,16,-19,0,2
164,18,-23,0,2
165,19,-21,0,2
140,4,-8,0,2
129,-3,-1,0,1
112,-10,-1,0,3
108,-12,-3,0,2
130,-2,0,0,2
111,-11,2,0,3
121,-6,1,0,1
114,-9,-13,0,2
128,-3,-10,0,2
101,-14,0,0,2
135,0,25,0,3
191,35,28,0,2
183,29,28,0,2
172,22,24,0,2
169,19,16,0,3
156,14,17,0,2
144,6,20,0,2
175,25,25,0,2
195,37,24,0,2
186,33,17,0,1
182,29,19,0,1
124,-5,3,0,2
134,0,11,0,3
116,-8,27,0,2
103,-14,28,0,2
95,-17,28,0,3
126,-5,28,0,2
92,-18,27,0,2
175,25,25,0,2
173,22,28,0,2
